SRS Substance ID,Radionuclide,Manufacturer,Model,Serial number,Physical form,Chemical form,Initial activity,Initial activity date,Device ID,Device type,Device manufacturer,Device model,Device serial number,Location (Storage),Location (Use),Location (Relocating to)
S41693, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-732,,, 37 kBq, 15-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41694, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-726,,, 37 kBq, 15-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S36051, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,D8-090,,, 111 kBq, 01-DEC-2006, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S36052, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,D8-091,,, 111 kBq, 01-DEC-2006, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S36053, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E1-467,,, 37 kBq, 01-FEB-2007, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S47429, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,P3-083, Solid, Caesium Salt, 37 KBQ, 15-FEB-2017, Unknown, Unknown, Unknown,Unknown,Unknown,, Throughout Queensland,
S38490, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E7-620,,, 111 kBq, 14-NOV-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455,,
S38491, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,A7-564,,, 111 kBq, 01-OCT-2002, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S38492, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,A9-429,,, 37 kBq, 01-FEB-2003, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S38319, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,12-389, Solid, Caesium Ceramic, 111 kBq, 01-JUL-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S38320, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,12-390, Solid, Caesium Ceramic, 111 KBQ, 01-JUL-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S38321, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,H2-581, Solid, Caesium Ceramic, 111 kBq, 01-AUG-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S47430, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,P3-082,,,,, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42371, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,K5-498,,, 351.5 kBq, 01-JUL-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42374, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-067,,, 351.5 kBq, 01-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42375, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-068,,, 351.5 kBq, 01-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37828, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E1-471,,, 37 kBq, 01-FEB-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37829, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E1-472,,, 37 kBq, 01-FEB-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37488, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E4063, Solid, Caesium Salt, 351.5 kBq, 01-JUL-2007, D41916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4962, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37489, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E4064, Solid, Caesium Salt, 351.5 kBq, 01-JUL-2007, D41916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4962, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53538, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,C2-327,,, 351.5 KBQ, 01-DEC-2004, D52489, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD,HRGD3898, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53539, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,C2-324,,, 351.5 KBQ, 01-DEC-2004, D52489, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD,HRGD3898, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57540, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,T3-246,,, 111 KBQ, 15-NOV-2020, I-AT57539, Sealed source apparatus, Schlumberger Australia Pty Ltd,OilwellLoggingTool,SLDS-A#35, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57541, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,R7-510,,, 111 KBQ, 01-AUG-2019, I-AT57539, Sealed source apparatus, Schlumberger Australia Pty Ltd,OilwellLoggingTool,SLDS-A#35, 85 Duke Street ROMA QLD 4455, - Field sites,
S53542, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,R5-833,,, 111 KBQ, 01-JUN-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, - Field sites,
S53543, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,R5-834,,, 111 KBQ, 01-JUN-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53544, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,R5-835,,, 111 KBQ, 01-JUN-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53545, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-5,R5-836,,, 111 KBQ, 01-JUN-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S57565, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,J7-617,,, 37 KBQ, 01-NOV-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S57566, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,Q7-784,,, 37 KBQ, 01-SEP-2018, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT52524, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,L6-421, Solid, Caesium Ceramic, 37 KBQ, 15-JUL-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT52403, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,L3-419, Solid, Caesium Ceramic, 37 KBQ, 15-APR-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT52458, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,I8-941, Solid, Caesium Ceramic, 37 KBQ, 01-MAR-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S56859, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,I4-762,,, 37 KBQ, 30-SEP-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S58619, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,I4-756,,, 37 KBQ, 01-NOV-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S57542, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,R6-521,, Caesium Chloride, 37 KBQ, 01-JUL-2019, I-AT57539, Sealed source apparatus, Schlumberger Australia Pty Ltd,OilwellLoggingTool,SLDS-A#35, 85 Duke Street ROMA QLD 4455, - Various sites throughout Queensland,
S53540, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,R4-302,,, 37 KBQ, 01-APR-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, - Field sites,
S53541, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,R4-303,,, 37 KBQ, 01-APR-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S54576, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,J5-179, Solid, Caesium Ceramic, 37 KBQ, 15-AUG-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S54577, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-7,K7-139,,, 37 KBQ, 15-AUG-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT36295, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, CDRQ6986,AD-6198,,, 36 kBq, 01-APR-2014, D41918, Borehole logging tool, Schlumberger Australia Pty Ltd,PGD-KA,3964, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36296, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, CDRQ6986,AD-6199,,, 35.8 kBq, 01-APR-2014, D41918, Borehole logging tool, Schlumberger Australia Pty Ltd,PGD-KA,3964, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S34893, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,F9-738,, Caesium Ceramic, 2.2 kBq, 15-APR-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S34895, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,D6-416,, Caesium Ceramic, 3.1 kBq, 29-AUG-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, At the client sites in the oil/gas/mining industries throughout Queensland.,
AT12979, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,0158/10,,, 7.4 GBq, 11-FEB-2010, I-AT2024, Industrial gauge, Berthold,LB7445-D,49310-10078, WELLCAMP - 20 Ballera Court, At the client sites in the oil/gas/mining industries throughout Queensland.,
AT12980, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,0157/10,,, 7.4 GBq, 11-FEB-2010, I-AT2025, Industrial gauge, Berthold,LB7445-D,49310-10077, WELLCAMP - 20 Ballera Court, Throughout Queensland,
AT12981, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,0156/10,,, 7.4 GBq, 11-FEB-2010, I-AT2026, Industrial gauge, Berthold,LB7445-D,49310-10076, WELLCAMP - 20 Ballera Court, Throughout Queensland,
AT12982, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, Cs7.P03,0155/10,,, 7.4 GBQ, 11-FEB-2010, I-AT2027, Industrial gauge, Berthold,LB7445-D,49310-10075, WELLCAMP - 20 Ballera Court, Throughout Queensland,
S57564, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, IND1402,I4-980,,, 2.22 KBQ, 01-NOV-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S57567, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, IND1402,R6-173,,, 2.22 KBQ, 01-JUN-2019, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S58620, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, IND1402,I6-404,,, 2.22 KBQ, 15-DEC-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S58621, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, IND1402,L4-302,,, 2.22 KBQ, 15-MAY-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, - Various sites throughout Queensland,
I-AT36201, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P486724,AD-9904,,, 333 kBq, 20-MAY-2014, D41912, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,752, 85 Duke Street ROMA QLD 4455, - Various sites throughout Queensland,
I-AT36204, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P486724,AE-1365,,, 333 kBq, 05-JUN-2014, D41914, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1735, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36202, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P585232,AD-9905,,, 333 kBq, 05-JUN-2014, D41912, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,752, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36205, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P585232,AE-1366,,, 333 kBq, 05-JUN-2014, D41914, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1735, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36200, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P585244,AD-9967,,, 22.2 KBQ, 20-MAY-2014, D41912, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,752, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT36203, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, P585244,AD-9969,,, 22.2 kBq, 20-MAY-2014, D41914, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1735, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37702, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, PHI-137,I6-754,, Ceramic Matrix, 33.3 kBq, 15-DEC-2011, D37703, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,402, 73 Beaumont Drive, Throughout Queensland,
I-AT36635, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, PHI-137,K7-737,, Caesium Ceramic, 33.3 kBq, 01-OCT-2013, D37700, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,523, 73 Beaumont Drive, Throughout Queensland,
S30242, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,UK437, Solid, Caesium Ceramic, 22.2 kBq, 25-JUN-2012, D41915, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1806R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S30243, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,2251, Solid, Caesium Ceramic, 333 kBq, 31-OCT-1997, D41915, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1806R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S30244, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,2252, Solid, Caesium Ceramic, 333 kBq, 31-OCT-1997, D41915, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1806R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35156, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,E6399,,,,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S34891, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,H3-101,, Caesium Ceramic, 2.22 kBq, 13-AUG-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, At the client sites in the oil/gas/mining industries throughout Queensland.,
S42388, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,PA-125,,, 22.2 kBq, 12-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, At the client sites in the oil/gas/mining industries throughout Queensland.,
S42372, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,AB-8794,,, 333 kBq, 07-JUN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42373, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,AB-8833,,, 22.2 kBq, 05-JUN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42376, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,PA-154,,, 333 kBq, 21-AUG-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37210, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,J4-491, Solid, Caesium Ceramic, 33.3 KBQ,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S43042, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,AB-8798,,, 333 kBq, 07-JUN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S43043, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-D,AC-8387,,, 22.2 kBq, 28-AUG-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT14739, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,C7-357,,, 3.11 kBq, 01-SEP-2005, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," East Energy Pathfinder, C/- Petrobel located at Land 26B, North Kattamyia,"
AT14740, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,C7-352,,, 3.11 kBq,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," East Energy Pathfinder, C/- Petrobel located at Land 26B, North Kattamyia,"
AT14741, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,D3-886,,, 3.11 kBq,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Seaco Inc., 94 Paraite Road, 4373, PO Box 7146, 4341, New"
AT14742, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,D3-891,,, 3.11 kBq,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Seaco Inc., 94 Paraite Road, 4373, PO Box 7146, 4341, New"
AT14796, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,D3-345,,, 3.11 kBq, 15-MAY-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Seaco Inc., 94 Paraite Road, 4373, PO Box 7146, 4341, New"
AT14797, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-H,E1-678,,, 3.11 kBq, 01-MAR-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Seaco Inc., 94 Paraite Road, 4373, PO Box 7146, 4341, New"
S30112, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-S,UL248, Solid, Caesium Ceramic, 22.2 kBq, 24-SEP-2012, D41913, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,754, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S30113, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, UNKNOWN MODEL - CS137-S,UL262, Solid, Caesium Ceramic, 333 kBq, 17-JUL-2012, D41913, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,754, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S29524, Cs137 - Sealed radioactive substance, Gammatron,3.92,E-1131, Solid, Caesium Ceramic, 18.5 kBq, 29-JUL-1996, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S46595, Cs137 - Sealed radioactive substance, NSSI Sources & Services Inc, CDC.CY3,A2377,,,,, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, 73 Beaumont Drive,
S52937, Cs137 - Sealed radioactive substance, Nuclitec Gmbh, Unknown Cs-137 source,RN308,, Caesium Ceramic, 333 KBQ, 16-DEC-2008, D52936, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1789, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S52938, Cs137 - Sealed radioactive substance, Nuclitec Gmbh, Unknown Cs-137 source,RN309,, Caesium Ceramic, 333 KBQ, 16-DEC-2008, D52936, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1789, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S52939, Cs137 - Sealed radioactive substance, Nuclitec Gmbh, Unknown Cs-137 source,RR699,, Caesium Ceramic, 22.2 KBQ, 02-FEB-2009, D52936, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,1789, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S60712, Cs137 - Sealed radioactive substance, QSA Global, CDC.800,1560CP,,, 7.73 GBQ, 04-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 34 Carmichael Street CHINCHILLA QLD 4413, Throughout Queensland,
S60713, Cs137 - Sealed radioactive substance, QSA Global, CDC.800,1923CP,,, 7.4 GBQ, 10-JAN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 34 Carmichael Street CHINCHILLA QLD 4413, Various field sites throughout Queensland,
S60714, Cs137 - Sealed radioactive substance, QSA Global, CDC.800,1902CP,,, 7.4 GBQ, 10-JAN-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 34 Carmichael Street CHINCHILLA QLD 4413, Various field sites throughout Queensland,
S60715, Cs137 - Sealed radioactive substance, QSA Global, CDC.800,1549CP,,, 7.4 GBQ, 04-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 34 Carmichael Street CHINCHILLA QLD 4413, Various field sites throughout Queensland,
S29890, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A3180, Solid, Caesium Ceramic, 57.35 GBq, 28-OCT-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Various field sites throughout Queensland,
S35488, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A5633,,, 60.68 GBq, 26-AUG-2013, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, Throughout Queensland,
S35489, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A5626,,, 58.83 GBq, 19-SEP-2013, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, Throughout Queensland,
S35490, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A5605,,, 61.05 GBq, 21-JUN-2012, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Store Southern Road, Throughout Queensland,
S35596, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A5642,,, 63 GBq, 11-NOV-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S28747, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A3179, Solid, Caesium Ceramic, 61.42 GBq, 28-OCT-2008, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," NEWBURN, WA 6105 - Schlumberger, Western Australia, 9 Searle Road"
S37148, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A5651,, Caesium Silicate, 63 GBq, 16-JUL-2014, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S37415, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A3242,,, 63 GBq, 15-APR-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S41139, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,GSR-Z-A2972,,, 65.86 GBq, 25-OCT-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S43041, Cs137 - Sealed radioactive substance, QSA Global, CDC.CY3,A4702,,, 64.29 GBQ, 12-APR-2005, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
